URL,Title,Description,Genre
https://www.rottentomatoes.com/m/his_house,His House,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.","Horror, 
                            
                            Mystery & thriller"
https://www.rottentomatoes.com/m/indiana_jones_and_the_dial_of_destiny,Indiana Jones and the Dial of Destiny,"Daredevil archaeologist Indiana Jones races against time to retrieve a legendary dial that can change the course of history. Accompanied by his goddaughter, he soon finds himself squaring off against Jürgen Voller, a former Nazi who works for NASA.","Adventure, 
                            
                            Action"
https://www.rottentomatoes.com/m/token_taverns,Token Taverns,"""Token Taverns"" is a documentary exploring the growth of arcade bars and what this growing trend is all about. ""Token Taverns"" centers on 3 arcade bars and their owners over 2 years as they try to thrive and survive through a global pandemic.",Documentary
https://www.rottentomatoes.com/m/aftersun,Aftersun,"At a fading vacation resort, 11-year-old Sophie treasures rare time together with her loving and idealistic father, Calum (Paul Mescal). As a world of adolescence creeps into view, beyond her eye Calum struggles under the weight of life outside of fatherhood. Twenty years later, Sophie's tender recollections of their last holiday become a powerful and heartrending portrait of their relationship, as she tries to reconcile the father she knew with the man she didn't, in Charlotte Wells' superb and searingly emotional debut film.",Drama
https://www.rottentomatoes.com/m/the_black_demon,The Black Demon,"Josh Lucas (Ford v Ferrari, Yellowstone) stars in this edge-of-your-seat action thriller from the director of Rambo: Last Blood. Oilman Paul Sturges' (Josh Lucas) idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.","Mystery & thriller, 
                            
                            Action, 
                            
                            Horror"
https://www.rottentomatoes.com/m/the_fallen_bridge,The Fallen Bridge,"A bridge in the busy city of Huangque collapses in broad daylight. From the wrecks, investigators discover a skeleton of a kneeling man and a whistleblowing letter revealing corruption behind this fatally flawed construction. The deceased is the bridge's chief architect reported missing for years whose daughter Wen Xiaoyu has been adopted by his schoolfriend. At the funeral, she gets approached by a young worker Meng Chao, who claims to have witnessed the murder of her father and is only willing to help without involving the police. Xiaoyu signs up for the secret joint investigation. The ugly truth they eventually unearth deeply infuriates Xiaoyu. She decides penalty from authorities won't satisfy her as much as taking vengeance into her own hands. But Chao's next move reminds her of what's worth living for after losing everything and all loved ones.","Crime, 
                            
                            Drama"
https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse,Spider-Man: Across the Spider-Verse,"Miles Morales returns for the next chapter of the Oscar®-winning Spider-Verse saga, an epic adventure that will transport Brooklyn's full-time, friendly neighborhood Spider-Man across the Multiverse to join forces with Gwen Stacy and a new team of Spider-People to face off with a villain more powerful than anything they have ever encountered.","Kids & family, 
                            
                            Action, 
                            
                            Adventure, 
                            
                            Comedy, 
                            
                            Fantasy, 
                            
                            Animation"
https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,Guardians of the Galaxy Vol. 3,"In Marvel Studios ""Guardians of the Galaxy Vol. 3"" our beloved band of misfits are looking a bit different these days. Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.","Sci-fi, 
                            
                            Adventure, 
                            
                            Action, 
                            
                            Fantasy, 
                            
                            Comedy"
https://www.rottentomatoes.com/m/huesera_the_bone_woman,Huesera: The Bone Woman,"Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger closes in, she's forced deeper into a chilling world of dark magic that threatens to consume her.","Horror, 
                            
                            Mystery & thriller"
https://www.rottentomatoes.com/m/65,65,"After a catastrophic crash on an unknown planet, pilot Mills (Adam Driver) quickly discovers he’s actually stranded on Earth... 65 million years ago. Now, with only one chance at rescue, Mills and the only other survivor, Koa (Ariana Greenblatt), must make their way across an unknown terrain riddled with dangerous prehistoric creatures in an epic fight to survive.","Sci-fi, 
                            
                            Adventure, 
                            
                            Action, 
                            
                            Mystery & thriller"
https://www.rottentomatoes.com/m/red_white_and_royal_blue,"Red, White & Royal Blue","Alex Claremont-Diaz (Taylor Zakhar Perez), the son of the President of the United States (Uma Thurman), and Britain's Prince Henry (Nicholas Galitzine) have a lot in common: Stunning good looks, undeniable charisma, international popularity... and a total disdain for each other. Separated by an ocean, their long-running feud hasn't really been an issue, until a disastrous--and very public--altercation at a royal event becomes tabloid fodder, driving a potential wedge in U.S./British relations at the worst possible time. Going into damage-control mode, their families and handlers force the two rivals into a staged ""truce."" But as Alex and Henry's icy relationship unexpectedly begins to thaw into a tentative friendship, the friction that existed between them sparks something deeper than they ever expected. Based on Casey McQuiston's critically acclaimed New York Times best seller, Red, White & Royal Blue marks the feature film writing and directing debut of Tony Award-winning playwright Matthew López (The Inheritance).","Romance, 
                            
                            Comedy"
https://www.rottentomatoes.com/m/top_gun_maverick,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. When he finds himself training a detachment of Top Gun graduates for a specialized mission the likes of which no living pilot has ever seen, Maverick encounters Lt. Bradley Bradshaw (Miles Teller), call sign: “Rooster,” the son of Maverick’s late friend and Radar Intercept Officer Lt. Nick Bradshaw, aka “Goose”.

Facing an uncertain future and confronting the ghosts of his past, Maverick is drawn into a confrontation with his own deepest fears, culminating in a mission that demands the ultimate sacrifice from those who will be chosen to fly it.","Action, 
                            
                            Adventure"
https://www.rottentomatoes.com/m/dungeons_and_dragons_honor_among_thieves,Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people. Dungeons & Dragons: Honor Among Thieves brings the rich world and playful spirit of the legendary roleplaying game to the big screen in a hilarious and action-packed adventure.","Fantasy, 
                            
                            Adventure, 
                            
                            Action, 
                            
                            Comedy"
https://www.rottentomatoes.com/m/blackberry,BlackBerry,"'BlackBerry' tells the story of Mike Lazaridis and Jim Balsillie, the two men that charted the course of the spectacular rise and catastrophic demise of the world's first smartphone.","Comedy, 
                            
                            Drama, 
                            
                            History"
https://www.rottentomatoes.com/m/meg_2_the_trench,Meg 2: The Trench,"Get ready for the ultimate adrenaline rush this summer in ""Meg 2: The Trench,"" a literally larger-than-life thrill ride that supersizes the 2018 blockbuster and takes the action to higher heights and even greater depths with multiple massive Megs and so much more! Dive into uncharted waters with Jason Statham and global action icon Wu Jing as they lead a daring research team on an exploratory dive into the deepest depths of the ocean. Their voyage spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival. Pitted against colossal Megs and relentless environmental plunderers, our heroes must outrun, outsmart, and outswim their merciless predators in a pulse-pounding race against time. Immerse yourself in the most electrifying cinematic experience of the year with ""Meg 2: The Trench"" -- where the depths of the ocean are matched only by the heights of sheer, unstoppable excitement!","Sci-fi, 
                            
                            Mystery & thriller, 
                            
                            Action, 
                            
                            Adventure"
https://www.rottentomatoes.com/m/m3gan,M3GAN,"M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child's greatest companion and a parent's greatest ally. Designed by brilliant toy-company roboticist Gemma (Get Out's Allison Williams), M3GAN can listen and watch and learn as she becomes friend and teacher, playmate and protector, for the child she is bonded to. When Gemma suddenly becomes the caretaker of her orphaned 8-year-old niece, Cady (Violet McGraw, The Haunting of Hill House), Gemma's unsure and unprepared to be a parent. Under intense pressure at work, Gemma decides to pair her M3GAN prototype with Cady in an attempt to resolve both problems--a decision that will have unimaginable consequences.","Horror, 
                            
                            Mystery & thriller, 
                            
                            Sci-fi"
https://www.rottentomatoes.com/m/insidious_the_red_door,Insidious: The Red Door,"In Insidious: The Red Door, the horror franchise's original cast returns for the final chapter of the Lambert family's terrifying saga. To put their demons to rest once and for all, Josh (Patrick Wilson) and a college-aged Dalton (Ty Simpkins) must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.","Horror, 
                            
                            Mystery & thriller"
